period,theta,mu,xi,n,a,s,psi,support,quota_wedge,signal_precision,natural_entry,quota_gap
0,0.2,0.0,3.0,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
1,0.1752451364811405,-0.06105963609490697,4.836941283632979,1.5,0.125,0.375,0.059016409998221775,0.059016409998221775,0.0,1.673560610966864,1.4372010787424032,0.0
2,-0.07449245689696596,0.12815842684785514,6.918199348501434,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
3,-0.10792766072491966,-0.03788476901536778,8.325262675627698,1.5,0.125,0.375,0.059016409998221775,0.059016409998221775,0.0,1.673560610966864,1.4372010787424032,0.0
4,-0.14983473121057825,0.10542292332277817,9.704110648190998,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
5,-0.4064094063427516,-0.11328497490137224,10.402218026372816,1.5,0.125,0.375,0.09292972891075602,0.09292972891075602,0.0,1.673560610966864,1.3999508438947856,0.0
6,-0.6351943898041992,-0.19489537345479704,11.144747201530274,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
7,-0.43359118790340456,-0.22154955226084105,11.502929276191196,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
8,-0.2524884092425813,-0.34864521145826444,11.731252630181906,1.25,0.125,0.375,0.026170992260743042,0.026170992260743042,0.0,1.4811247357338566,1.220933091087737,0.0
9,-0.23635150308575342,-0.3426286651052378,11.874833410765724,1.25,0.125,0.375,0.026170992260743042,0.026170992260743042,0.0,1.4811247357338566,1.220933091087737,0.0
10,0.014762699434076015,-0.46272797983396696,11.964353892760872,1.25,0.125,0.375,0.08328945767223106,0.08328945767223106,0.0,1.4811247357338566,1.1555316729250422,0.0
11,-0.16053221183564037,-0.32560573058381637,12.01987082899402,1.25,0.125,0.375,0.026170992260743042,0.026170992260743042,0.0,1.4811247357338566,1.220933091087737,0.0
12,-0.10385734880477934,-0.21698224641907138,12.054186023422961,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
13,-0.0005361078538895225,-0.2121440925319992,12.07535283780055,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
14,-0.1611409530441455,-0.18700788875505092,12.088392734322793,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
15,-0.27704499294828583,-0.22717623577959747,12.096419741187137,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
16,-0.44524294395521596,-0.137257895852771,12.101358573921786,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
17,-0.5177028523579931,-0.27069058707108984,12.22223210450338,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
