K,M,n_period_1,s_period_1,fixed_payment_period_1,quota_gap_period_1,n_terminal,natural_entry
1.4000000000000001,0.0,1.0,0.3125,0.3284783239789842,0.0,0.9166666666666666,0.5926594489847092
1.4000000000000001,0.25,1.0,0.3125,0.2800140174460218,0.0,1.0,0.6597578562447624
1.4000000000000001,0.5,1.0833333333333333,0.3125,0.29765134411305366,0.0,1.0,0.7257268391674974
1.4000000000000001,0.75,1.0833333333333333,0.3125,0.24823671842150713,0.0,1.0,0.7903636371386853
1.4000000000000001,1.0,1.0833333333333333,0.375,0.12390340631968422,0.0,1.0833333333333333,0.9443110844795368
1.4000000000000001,1.25,1.1666666666666665,0.375,0.13831818080238967,0.0,1.0833333333333333,1.0128075402294199
1.4000000000000001,1.5,1.1666666666666665,0.375,0.07971724186538343,0.0,1.0833333333333333,1.079485843936939
1.4000000000000001,1.75,1.25,0.375,0.09731646562074947,0.0,1.1666666666666665,1.1442437153489204
1.4000000000000001,2.0,1.25,0.375,0.04016572406717356,0.0,1.25,1.206997568523263
1.4000000000000001,2.25,1.3333333333333333,0.375,0.06158825524496425,0.0,1.25,1.267680457103907
1.4000000000000001,2.5,1.3333333333333333,0.375,0.006741271245107372,0.0,1.3333333333333333,1.3262405307075888
1.4000000000000001,2.75,1.4166666666666665,0.375,0.03242501695685407,0.0,1.25,1.3826398177461883
1.4000000000000001,3.0,1.4166666666666665,0.375,0.0,0.020186543375914745,1.4166666666666665,1.4368532100425813
1.4000000000000001,3.25,1.5,0.375,0.010742359812896396,0.0,1.5,1.488867565382538
1.4000000000000001,3.5,1.5833333333333333,0.375,0.04311439195518307,0.0,1.4166666666666665,1.5386808724839547
1.4000000000000001,3.75,1.5833333333333333,0.375,0.0,0.002968109587180523,1.5833333333333333,1.5863014429205138
1.4000000000000001,4.0,1.6666666666666665,0.375,0.03400897191549901,0.0,1.5,1.6317471089022928
1.4000000000000001,4.25,1.6666666666666665,0.375,0.0,0.00837774947282277,1.6666666666666665,1.6750444161394893
1.4000000000000001,4.5,1.75,0.375,0.03310272687336946,0.0,1.6666666666666665,1.7162278083738651
1.4000000000000001,4.75,1.75,0.375,0.0,0.005338805283580328,1.75,1.7553388052835803
1.4000000000000001,5.0,1.75,0.375,0.0,0.04242517886503938,1.75,1.7924251788650394
1.4000000000000001,5.25,1.8333333333333333,0.375,0.005737464574359752,0.0,1.8333333333333333,1.8275401354517107
1.4000000000000001,5.5,1.8333333333333333,0.375,0.0,0.02740817820931407,1.8333333333333333,1.8607415115426473
1.4000000000000001,5.75,1.9166666666666665,0.375,0.024387063289654787,0.0,1.8333333333333333,1.892090991824427
1.4000000000000001,6.0,1.9166666666666665,0.375,0.0,0.004986690715395703,1.9166666666666665,1.9216533573820622
1.4000000000000001,6.25,1.9166666666666665,0.375,0.0,0.032829104611765025,1.9166666666666665,1.9494957712784315
1.4000000000000001,6.5,2.0,0.375,0.024238707734926868,0.0,1.9166666666666665,1.9756871075831248
1.4000000000000001,6.75,2.0,0.375,0.0,0.0002973286714444967,2.0,2.0002973286714445
1.4000000000000001,7.0,2.0,0.375,0.0,0.023396914291774706,2.0,2.0233969142917747
1.4000000000000001,7.25,2.0,0.375,0.0,0.045056344592826036,2.0,2.045056344592826
1.4000000000000001,7.5,2.083333333333333,0.375,0.018022914053991368,0.0,2.0,2.065345638070461
1.4000000000000001,7.75,2.083333333333333,0.375,0.0,0.0010006109455655832,2.083333333333333,2.0843339442788986
1.4000000000000001,8.0,2.083333333333333,0.375,0.0,0.018755856846245145,2.083333333333333,2.102089190179578
1.4000000000000001,8.25,2.083333333333333,0.375,0.0,0.035344444853873114,2.083333333333333,2.118677778187206
1.4000000000000001,8.5,2.083333333333333,0.375,0.0,0.05083099998635099,2.083333333333333,2.134164333319684
1.4000000000000001,8.75,2.1666666666666665,0.375,0.018154174745095064,0.0,2.083333333333333,2.1486114963627543
1.4000000000000001,9.0,2.1666666666666665,0.375,0.0046203265260236215,0.0,2.1666666666666665,2.1620797596105774
1.4000000000000001,9.25,2.1666666666666665,0.375,0.0,0.007960674859373906,2.1666666666666665,2.1746273415260404
1.4000000000000001,9.5,2.1666666666666665,0.375,0.0,0.019643429895826348,2.1666666666666665,2.186310096562493
1.4000000000000001,9.75,2.1666666666666665,0.375,0.0,0.0305147897177096,2.1666666666666665,2.197181456384376
1.4000000000000001,10.0,2.1666666666666665,0.375,0.0,0.04062573213325971,2.1666666666666665,2.2072923987999262
