k,m,n,s,psi,support,quota,natural,period
0.2,0.2,1.4166666666666665,0.375,0.869976347276845,0.869976347276845,0.0,0.4312276641733349,0
0.4244703380139908,0.6571299961280301,1.5064083735289833,0.4094762188852701,0.8013940271846551,0.8013940271846551,0.0,0.6112747461012469,1
0.6445313124065999,1.0992580667045218,1.5907001532954903,0.4291090798445553,0.7195754365822655,0.7195754365822655,0.0,0.797349517924387,2
0.8611992649910899,1.5283468956035944,1.6666666666666665,0.4375,0.6264633504206429,0.6264633504206429,0.0,0.9834488566181852,3
1.0737836757270376,1.9448687842934271,1.7384025676680275,0.4375,0.5304694086830761,0.5304694086830761,0.0,1.1643346233465177,4
1.2811846861229876,2.349123089956283,1.7838269525512447,0.4375,0.41026295377762656,0.41026295377762656,0.0,1.3437203507427862,5
1.480548485844467,2.736866700530441,1.833333333333333,0.4375,0.2966875189373249,0.2966875189373249,0.0,1.5172370071092507,6
1.672476414578044,3.10864498015373,1.8635318394075184,0.4375,0.17006446439909872,0.17006446439909872,0.0,1.6836540575237944,7
1.8544919175119992,3.461378321146086,1.9166666666666667,0.43750000000000006,0.07253054824775629,0.07253054824775629,0.0,1.8402008086299975,8
2.0293594108058124,3.798417946938457,2.026003199491007,0.43749999999999994,0.035732990566652134,0.035732990566652134,0.0,1.988164815756115,9
2.203392536056111,4.127141336735113,2.12712733560175,0.43750000000000006,-0.003983433283810234,0.0,0.004238802117789486,2.1313661377195396,10
2.374364512199694,4.445192756831281,2.1909338329276338,0.39495663771275036,0.021856553876310247,0.021856553876310247,0.0,2.167019613973821,11
2.520004222771045,4.748237623366046,2.2828616315500536,0.3998224520232945,-0.011823703180079637,0.0,0.012972318097416391,2.29583394964747,12
2.6646920793731543,5.037878378446508,2.360288366405481,0.37499999999999994,0.024974821349593723,0.024974821349593723,0.0,2.3322489992545234,13
2.791366727058951,5.312268537586585,2.4338256488034244,0.375,0.005605485270234523,0.005605485270234523,0.0,2.4274973399737103,14
2.9131882201713215,5.571119660234265,2.513416512935176,0.375,-0.002199012891412222,0.0,0.0024992510142456403,2.5159157639494216,15
3.030484766660174,5.815571278131893,2.5960353194417385,0.375,-0.0018275453111087359,0.0,0.0020925364390018686,2.5981278558807404,16
3.1432992785839495,6.046403893430925,2.647426589800057,0.375,-0.023592293642558104,0.0,0.027145660281352235,2.6745722500814093,17
3.248434619931646,6.261216836587822,2.6905867038341267,0.37500000000000006,-0.04626745003190247,0.0,0.053469089154716265,2.744055792988843,18
3.3455740436001733,6.46024887699188,2.7974054771640318,0.375,-0.00809731317199347,0.0,0.009454226722236836,2.8068597038862686,19
3.441309955546642,6.650158412658829,2.8505458148111007,0.375,-0.01359918568043783,0.0,0.015967801180711838,2.8665136159918125,20
3.5302589200163883,6.826659299189308,2.8876078833401615,0.375,-0.028118606258846546,0.0,0.03315740006543555,2.920765283405597,21
3.6115277589100723,6.989377683244115,2.907672458441414,0.37155063972388774,-0.04065504144591858,0.0,0.04820552562529423,2.955877984066708,22
3.6822673801068904,7.137908199553516,2.875171005974554,0.3492914437165968,-0.02400975425875851,0.0,0.028952545350528602,2.9041235513250827,23
3.726712235050961,7.268159916084835,2.856950263222615,0.33827878099088404,-0.021949952229132208,0.0,0.026698019221399694,2.883648282444015,24
3.756733885991848,7.382985281500716,2.9430379755057032,0.3520747855642063,-0.02152280468672574,0.0,0.026042628729870287,2.9690806042355735,25
3.801071352786135,7.494019588945902,3.0740629751455004,0.3731781084033647,-0.0103963345564404,0.0,0.012504665290582917,3.0865676404360833,26
3.8651309768855855,7.604941078878794,2.9425446332329113,0.3369549437320599,-0.012698176655264959,0.0,0.015607039327640848,2.958151672560552,27
3.8843438347952834,7.692719760995108,2.8935486033985067,0.3207810159816443,0.0005442545095302176,0.0005442545095302176,0.0,2.892872020328766,28
