case,beta,delta_k,delta_m,diversity,iterations,bellman_residual,initial_n,initial_support,mature_n,mature_quota_gap,switch_period,terminal_K,terminal_M
coarse_grid,0.92,0.18,0.12,0.8745190133469145,214,1.8185565409112314e-07,1.5333333333333332,0.8205163935128571,2.8518518518518516,0.04779235841100027,36,4.098065538792978,8.493981698661797
beta_0.88,0.88,0.18,0.12,0.8745190133469145,140,1.724214087062137e-07,1.362962962962963,0.6777458934579486,2.8518518518518516,0.04779235841100027,23,4.0936594091451175,8.483197425188207
beta_0.96,0.96,0.18,0.12,0.8745190133469145,436,1.9032273712582537e-07,1.7407407407407407,0.9914687686644055,2.8518518518518516,0.04779235841100027,34,4.1003576254618865,8.500189864148387
diversity_minus_0.10,0.92,0.18,0.12,0.7745190133469145,214,1.750258604715782e-07,1.474074074074074,0.7771924005598843,2.8518518518518516,0.03953226658349296,27,3.981008525207537,7.992320658073577
diversity_plus_0.05,0.92,0.18,0.12,0.9245190133469146,215,1.6964067128810711e-07,1.5333333333333332,0.8173939200230464,2.8518518518518516,0.05195113866435053,31,4.1221301322961725,8.700350696214347
faster_obsolescence,0.92,0.24,0.18,0.8745190133469145,208,1.7281844577610173e-07,1.362962962962963,0.6936447077574731,2.8518518518518516,0.04779235841100027,26,2.548382542001512,4.803099799215148
