period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
0,1,0.5,1.0,0.5,1.0,0.375,0.388177731572517,0.388177731572517,0.0,0.7044462927531923,0.57158984389505,0.0
1,1,0.3282651140873185,1.0,0.15000000000000002,0.51,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
2,1,0.46507188566686886,1.0,0.45,0.9900000000000001,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
3,1,0.3055111167322879,1.0,0.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
4,1,0.3095880807671453,1.0,0.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
5,1,0.3689847639234566,1.0,0.30000000000000004,0.8400000000000001,0.375,0.38104276157061934,0.38104276157061934,0.0,0.6833611216184847,0.5811375867420083,0.0
6,1,0.5486449543946793,1.0,0.55,0.99,0.375,0.38746646246403815,0.38746646246403815,0.0,0.7031787448774502,0.5725451350008264,0.0
7,1,0.36484847011852484,1.0,0.30000000000000004,0.8400000000000001,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
8,1,0.5449519728080789,1.0,0.55,0.99,0.375,0.38746646246403815,0.38746646246403815,0.0,0.7031787448774502,0.5725451350008264,0.0
9,1,0.7010835876623467,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
10,1,0.6404960696389694,1.0,0.7000000000000001,0.8399999999999999,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
11,1,0.45985675254427577,1.0,0.45,0.9900000000000001,0.375,0.38764432600662674,0.38764432600662674,0.0,0.7031787448774502,0.5723063230360164,0.0
